ID_Tiempo,Fecha,Mes,Año,Trimestre
1,2024-12-02,12,2022,4
2,2024-07-10,12,2023,3
3,2022-07-03,8,2023,3
4,2023-12-12,2,2020,3
5,2023-08-04,11,2022,2
6,2022-01-09,10,2023,1
8,2020-02-12,9,2022,3
10,2022-05-07,1,2021,4
16,2021-05-02,5,2024,4
18,2023-04-02,2,2024,4
21,2023-06-12,7,2020,2
37,2023-05-10,9,2020,2
43,2024-11-03,9,2020,3
44,2024-08-02,5,2024,4
45,2024-11-03,5,2020,3
50,2023-05-07,12,2021,4
52,2022-02-09,6,2020,1
54,2023-12-05,5,2020,2
58,2022-05-11,8,2024,1
61,2023-11-10,2,2022,4
65,2023-12-11,1,2021,2
68,2022-08-06,6,2023,2
71,2022-02-04,12,2022,1
72,2024-12-07,6,2023,1
75,2021-08-04,6,2021,4
78,2021-10-05,8,2023,4
81,2022-12-02,5,2020,3
84,2024-11-05,8,2022,2
86,2023-11-04,10,2021,2
94,2021-05-11,4,2024,1
95,2023-10-05,12,2024,3
101,2021-02-05,4,2024,1
102,2022-08-05,2,2020,4
107,2021-07-07,6,2021,1
108,2021-01-05,7,2021,2
113,2024-03-03,7,2022,3
114,2024-09-08,5,2021,1
116,2023-12-11,4,2022,4
118,2023-09-07,12,2023,2
121,2022-04-07,8,2024,1
126,2021-02-08,12,2022,2
127,2020-05-12,8,2023,2
130,2024-04-03,4,2020,4
132,2021-01-05,2,2023,1
136,2021-06-06,1,2023,1
138,2020-10-11,2,2021,3
140,2024-09-05,1,2023,1
142,2024-11-02,11,2024,4
145,2024-04-02,3,2021,4
147,2023-08-12,5,2024,1
148,2021-02-09,6,2022,2
150,2021-06-04,11,2024,1
151,2021-08-11,1,2024,2
156,2022-03-04,5,2020,2
158,2024-05-06,3,2024,2
159,2023-05-02,1,2024,1
161,2023-02-12,3,2022,1
162,2021-11-06,12,2024,2
165,2022-10-01,2,2021,4
169,2024-01-10,2,2021,1
170,2024-12-04,12,2021,1
172,2023-01-01,11,2022,4
174,2023-06-02,5,2023,4
175,2022-05-12,3,2020,3
177,2024-08-09,3,2020,2
180,2021-01-02,9,2022,3
184,2022-03-06,7,2024,2
185,2021-08-09,9,2021,3
191,2024-08-07,7,2023,4
193,2021-07-07,10,2023,2
194,2024-02-01,1,2023,1
196,2023-09-03,9,2021,3
197,2024-12-03,9,2023,3
198,2023-12-05,7,2024,2
199,2023-01-05,4,2024,4
201,2022-09-04,9,2022,1
202,2020-06-11,7,2020,4
204,2022-04-11,1,2022,2
