ID_Venta,ID_Cliente,ID_Vehiculo,ID_Sucursal,ID_Tiempo,Fecha_de_alquiler,Monto_de_alquiler,Duracion_de_alquiler
1,1,1,1,1,2024-01-25,9961.33,25
2,2,2,2,2,2023-12-23,599.69,29
3,3,3,3,3,2022-05-07,1157.02,27
4,4,4,4,4,2022-03-14,2342.47,17
5,5,5,5,5,2024-08-30,2787.65,20
6,6,6,6,6,2022-02-26,8489.76,16
7,7,7,7,7,2022-11-11,2118.1,30
8,8,8,8,8,2023-06-25,4070.89,12
9,9,9,9,9,2023-02-25,5127.94,5
10,10,10,10,10,2024-09-18,360.55,1
11,11,11,11,11,2021-10-31,3658.42,15
12,12,12,12,12,2022-07-14,5286.28,9
13,13,13,13,13,2022-08-03,9138.22,3
14,14,14,14,14,2024-04-07,6124.82,20
15,15,15,15,15,2023-03-11,1820.78,12
16,16,16,16,16,2024-07-19,3033.68,22
17,17,17,17,17,2023-10-23,1553.17,2
18,18,18,18,18,2023-08-29,6162.14,2
19,19,19,19,19,2024-04-17,6868.11,8
20,20,20,20,20,2020-10-16,4002.96,6
21,21,21,21,21,2023-03-26,779.29,5
22,22,22,22,22,2021-02-15,5736.57,20
23,23,23,23,23,2024-01-28,4144.74,6
24,24,24,24,24,2023-01-25,149.22,4
25,25,25,25,25,2022-11-16,9391.32,8
26,26,26,26,26,2020-11-13,2939.09,4
27,27,27,27,27,2021-07-28,7650.48,12
28,28,28,28,28,2021-10-13,2779.91,7
29,29,29,29,29,2023-09-27,339.68,4
30,30,30,30,30,2021-04-19,1264.43,19
31,31,31,31,31,2021-09-06,8799.56,15
32,32,32,32,32,2021-08-30,2732.83,12
33,33,33,33,33,2021-07-26,3413.94,6
34,34,34,34,34,2022-10-26,4960.34,22
35,35,35,35,35,2021-08-09,6451.53,15
36,36,36,36,36,2023-01-04,9339.23,26
37,37,37,37,37,2021-01-15,5675.4,10
38,38,38,38,38,2023-07-11,4571.62,10
39,39,39,39,39,2024-01-18,4930.95,22
40,40,40,40,40,2024-06-19,4281.06,28
41,41,41,41,41,2020-10-17,6388.51,8
42,42,42,42,42,2020-11-07,2873.62,5
43,43,43,43,43,2023-04-26,5379.03,15
44,44,44,44,44,2024-09-06,8690.49,22
